Prey,Bait,Score
NDH15G25360.4,NDH03G01810.5,1
NDH17G25660.3,NDH03G47231.1,1
NDH20G08000.1,NDH19G35080.1,1
NDH04G24850.3,NDH05G05830.2,1
NDH20G23430.1,NDH13G44210.2,1
NDH09G28360.13,NDH10G19120.5,1
NDH19G44220.1,NDH04G06230.1,1
NDH18G02240.3,NDH19G31750.2,1
NDH13G49070.1,NDH19G35080.1,1
NDH14G03770.1,NDH04G08620.1,1
NDH13G46770.1,NDH19G03870.1,1
NDH17G04620.1,NDH01G29220.1,1
NDH18G10880.1,NDH04G04290.1,1
NDH20G38110.1,NDH14G39490.1,1
NDH09G31460.1,NDH12G09600.1,1
NDH07G08340.2,NDH08G17540.1,1
NDH14G01180.1,NDH18G09430.1,1
NDH19G37400.1,NDH05G00110.1,1
NDH10G07600.1,NDH06G01000.4,1
NDH15G25940.1,NDH14G40140.1,1
NDH12G30920.1,NDH13G04000.3,1
NDH13G09730.1,NDH02G11311.1,1
NDH20G02871.1,NDH10G05010.1,1
NDH05G18210.1,NDH14G31720.1,1
NDH11G05070.2,NDH13G02990.1,1
NDH03G07070.1,NDH09G25860.1,1
NDH08G18820.2,NDH13G22130.2,1
NDH12G20850.1,NDH10G20000.1,1
NDH06G36320.1,NDH07G18990.1,1
NDH13G44250.1,NDH16G17170.2,1
NDH07G20530.1,NDH20G23430.1,1
NDH18G10880.1,NDH06G26640.1,1
NDH07G08340.2,NDH07G26600.3,1
NDH20G23971.1,NDH13G03130.1,1
NDH10G05010.1,NDH08G12220.1,1
NDH19G39830.1,NDH08G20140.1,1
NDH04G18530.1,NDH14G40370.1,1
NDH02G20650.1,NDH20G37180.3,1
NDH20G38110.1,NDH09G23440.1,1
NDH14G34520.1,NDH12G27760.1,1
NDH20G38120.1,NDH06G01530.3,1
NDH06G07880.1,NDH08G25700.1,1
NDH03G08780.1,NDH15G30690.1,1
NDH12G10970.1,NDH08G13470.2,1
NDH17G05210.1,NDH08G14730.3,1
NDH19G35560.1,NDH07G27961.1,1
NDH08G13510.1,NDH14G01210.1,1
NDH05G01540.2,NDH09G05080.1,1
NDH13G18131.1,NDH03G41230.2,1
NDH17G36830.1,NDH14G38210.2,1
NDH18G10880.1,NDH01G30090.3,1
Contig1G01450.1,NDH09G36440.1,1
NDH18G10880.1,NDH17G15390.2,1
NDH04G18250.1,NDH16G14030.4,1
NDH06G28840.1,NDH08G25970.1,1
NDH10G01290.1,NDH14G39610.2,1
NDH04G26880.1,NDH05G35810.1,1
NDH06G15770.1,NDH18G26510.1,1
